text,created_date,rubrics
"Защита переднего бампера - кенгурятник, труба двойная, труба одинарная, труба с изгибом.
Защита порогов - трубы с проступьями для ног, площадки.
Защита заднего бампера - уголки, труба прямая.
Рейлинги на крышу.
Шторки салонные. 
По вопросам в л.с",2019-04-16 18:36:02,"['VK-1603736028819866', 'VK-95995018483', 'VK-89635598958']"
"Продаю вито 2010 в отличном состоянии, полностью обслужен , не требует вложений. Любые проверки. Фото скину в личку",2019-04-16 18:35:59,"['VK-1603736028819866', 'VK-63434121724', 'VK-98096322060']"
"Подходящее время может вообще никогда не наступить. Если вы действительно хотите сделать что-то, забудьте о времени и просто cделайте это.",2019-04-16 07:12:07,"['VK-1603736028819866', 'VK-62231748465', 'VK-58623526209']"
"Всем привет. Ребятки подскажите пожалуйста. Хочу купить себе Вито, как цены на запчасти, сильно кусаются?",2019-04-14 18:55:09,"['VK-1603736028819866', 'VK-91531678069', 'VK-69482034969']"
"Приветствую, Вито 638, 611, 2,2, ТНВД, во всех ли ТНВД есть этот клапан? В одном есть и нажимается, в другом нет ни пружинки,  и не нажимается но он стоял на машине и работал, только потек, может так и должно быть?",2019-04-07 19:00:42,"['VK-1603736028819866', 'VK-95885100478', 'VK-72206243578']"
"Нет недостижимых целей, есть высокий коэффициент лени, недостаток смекалки и запас отговорок.",2019-04-03 19:14:28,"['VK-1603736028819866', 'VK-60419770568', 'VK-11670201385']"
"Следующий раз, когда услышите, что о вас сплетничают, можете собой гордится, вы достигли в жизни больше, чем они.",2019-04-02 07:12:06,"['VK-1603736028819866', 'VK-63716297716', 'VK-96263587612']"
"Mercedes-Benz G63 AMG 6x6 Mansory 
 
Мотор: 840 л.с. 5.5 V8 
Снаряженная масса: 3675кг. 
Разгон 0-100 км.ч.: 7с. 
Максимальная скорость: 190км.ч.",2019-03-31 07:15:06,"['VK-1603736028819866', 'VK-88847229101', 'VK-56126693275']"
"Сделай так, чтобы получить то, что ты хочешь, иначе тебе придётся любить то, что ты имеешь.",2019-03-28 07:12:08,"['VK-1603736028819866', 'VK-11668415250', 'VK-32328763741']"
"Чтобы изменить свою жизнь, ехать куда-то необязательно, но важно сдвинуться с места.",2019-03-27 07:12:07,"['VK-1603736028819866', 'VK-94673807194', 'VK-43736583970']"
"Здарова народ,  хочу преобрести вито 2.8 бензин,  2000 года,  посоветуйте подалуста,  что лучше  2.3 или 2.8 и какие +/- в этих машинах,  сам на данный момен езжу на мазда мпв 2001 года",2019-03-26 20:08:11,"['VK-1603736028819866', 'VK-41693206282', 'VK-86817946628']"
"Владимир Высоцкий очень любил автомобили и быструю езду. Поэтому очень часто он попадал в аварии с печальными для машин последствиями. Водить знаменитый артист начал, когда ему практически исполнилось 30 лет. Но сразу же полюбил это занятие.

#музыка@motor",2019-03-24 19:12:08,"['VK-1603736028819866', 'VK-30808204718', 'VK-55068195891']"
"Половина того, что отделяет успешных предпринимателей от неудачников – это настойчивость.",2019-03-24 07:12:08,"['VK-1603736028819866', 'VK-17894242509', 'VK-16610779282']"
"Порой жизнь недвусмысленно даёт вам понять, что управлять ею — у вас кишка тонка.",2019-03-23 07:18:39,"['VK-1603736028819866', 'VK-45786578236', 'VK-73097901474']"
"Всем привет! Помогите пожалуйста. Мерседес Вито 638 2.2cdi
Педаль сцепления при выжиме остаётся внизу только когда включаешь передачу, а на нейтралке нажимается и спокойно возвращается назад. Куда копать?",2019-03-22 19:06:27,"['VK-1603736028819866', 'VK-70418182801', 'VK-57620613429']"
"❗Мужские шапки - показатель стиля, оригинальности. В наличии 5000+ моделей высокого качества недорого и под любой стиль. Наши цены 30-40% ниже, чем в обычных магазинах ✔ проверенный продавец! 

➡ Высокое качество изделий. 
➡ Доступные цены: от 600 руб.
➡ Идеальны для автолюбителей и деловых мужчин. 
➡ Популярные бренды: Adidas, Calvin Klein, Hugo Boss, Nike, Roberto Cavalli, Tom Tailor, Wrangler.

👉 Крупнейшая коллекция здесь - https://vk.cc/7GwGA5",2019-03-22 03:00:01,"['VK-1603736028819866', 'VK-87802206978', 'VK-62424055692']"
"Добрый вечер. Помогите пожалуйста,не знаю уже что делать. Менял термостат и радиатор на Мерседес Вито 2,3 дизель 1997 года, и снял провода с генератора. После всей сборки и постановки всех комплектующих на место, замети,что на приборке при неповернутом ключе зажигания работает указатель уровня топлива, а когда поворачиваешь ключ- то горит только АБС и накал.Что делать? Заранее спасибо!",2019-03-18 19:48:38,"['VK-1603736028819866', 'VK-72665498809', 'VK-41764005486']"
